Year,wtotal,wwithin,wbetween,woverlap,total,within,between,overlap
1997,0.243883814223167,0.119547570579027,0.0910101414841253,0.0333261021600149,0.318865049751244,0.141812810945274,0.122332089552239,0.0547201492537312
1998,0.241466587135751,0.117172818002677,0.0925290714753262,0.0317646976577473,0.325265592475523,0.143461568113484,0.128673194048261,0.053130830313777
1999,0.239428495475973,0.117258881123412,0.0899327141167587,0.0322369002358022,0.323199459592237,0.142864468189634,0.127852800294768,0.0524821911078352
2000,0.240385362327661,0.116533220120841,0.0927803342781669,0.0310718079286536,0.323708762012437,0.142922479743734,0.12952327115131,0.051263011117393
2001,0.237548586557121,0.0957493099314299,0.127544288565759,0.0142549880599324,0.323932168930783,0.162839232356837,0.144054770045898,0.0170381665280475
2002,0.243672632212967,0.0991316259397143,0.129356922544175,0.0151840837290775,0.328266419122766,0.165670302467703,0.145493927438694,0.0171021892163685
2003,0.241805971580924,0.0984141521671681,0.127998784207962,0.0153930352057938,0.325180870631515,0.163966891477621,0.144098712446352,0.0171152667075421
2004,0.235952851145083,0.0960950842633259,0.124961586195936,0.0148961806858209,0.32066778472328,0.161000152462266,0.143406007013264,0.0162616252477505
2005,0.233168214938736,0.0938585410049753,0.128287396051461,0.0110222778822998,0.322391221519469,0.161865427112703,0.1539084050903,0.00661738931646683
2006,0.242726232963463,0.0973802013206197,0.134738586124015,0.0106074455188284,0.333466843294632,0.165473388919193,0.161734590508844,0.00625886386659488
2007,0.238009768258294,0.0971390696925008,0.129121193877421,0.0117495046883728,0.331247291860105,0.165304859176725,0.15909316001238,0.00684927267100002
2008,0.242823375362669,0.100831953308191,0.128073396805468,0.0139180252490092,0.33681774349084,0.167428479588557,0.162385085181614,0.00700417872066972
2009,0.240343458382011,0.100255284739346,0.123485733372741,0.0166024402699231,0.3339173553719,0.131217050891692,0.183227490213136,0.0194728142670723
2010,0.245063070086875,0.101827945188626,0.127867841558176,0.0153672833400728,0.335648179652942,0.131116025859136,0.186658727458319,0.0178734263354872
2011,0.256109331290265,0.104584283730804,0.135696527759837,0.0158285197996237,0.34276102492592,0.133989890186509,0.190643193306606,0.0181279414328054
2012,0.253513840082093,0.101872381313901,0.135683611886678,0.0159578468815139,0.349505165851006,0.136508972267537,0.19558093166576,0.0174152619177094
2013,0.2540748075855,0.0971803814003687,0.140543997888907,0.0163504282962243,0.34506374573532,0.140147243670318,0.190048482671934,0.0148680193930684
2014,0.252082887656073,0.0962208973145454,0.140311327624259,0.0155506627172686,0.341855873642645,0.13820515121601,0.18956833886745,0.0140823835591847
2015,0.242234900238493,0.091486491083218,0.136424755654944,0.0143236535003319,0.335166837066641,0.13612231620039,0.185489357747003,0.0135551631192481
2016,0.238652371887152,0.0889010950237108,0.137092665575575,0.0126586112878664,0.332709190016258,0.134529979917759,0.185774122597303,0.0124050875011962
2017,0.240257384035143,0.10076887032041,0.129374963239007,0.0101135504757258,0.339257120862202,0.164688221709007,0.165396458814473,0.00917244033872228
2018,0.242015372391908,0.10254383197718,0.129325938622049,0.0101456017926783,0.339351209450591,0.163993999624977,0.167579223701481,0.00777798612413255
2019,0.237903693316515,0.102468867036518,0.124086408427614,0.0113484178523826,0.333912706110572,0.162347235693501,0.162075654704171,0.00948981571290056
2020,0.254718074759662,0.106749374014942,0.138023738616719,0.00994496212800067,0.351638551627806,0.169401525733319,0.17382615235844,0.00841087353604691
2021,0.250350837248416,0.092397547706191,0.143307760381972,0.0146455291602523,0.346606325638158,0.137113800467813,0.201718702328892,0.00777382284145273
