Year,wtotal,wwithin,wbetween,total,within,between
1997,0.0951382054501841,0.0697684027715297,0.0253698026786544,0.164343563369914,0.121853048686195,0.0424905146837194
1998,0.0932720725224513,0.0672710618614323,0.0260010106610191,0.171677383727249,0.125615055377028,0.046062328350221
1999,0.0920097432428438,0.0672197982445788,0.024789944998265,0.169474405937753,0.124234671950314,0.0452397339874383
2000,0.0928453046339979,0.0668828943438549,0.0259624102901428,0.170222816705402,0.12376683486853,0.0464559818368712
2001,0.0901015585774839,0.0408073882155714,0.0492941703619124,0.170362485197309,0.0989458925159389,0.0714165926813698
2002,0.0951325109013736,0.0438945861179857,0.0512379247833878,0.175365762781439,0.102281230544688,0.0730845322367509
2003,0.0937613881374055,0.0438032414096847,0.0499581467277207,0.17245922487871,0.102034827262636,0.0704243976160739
2004,0.0895754284839962,0.0417985845668659,0.0477768439171305,0.167904352558513,0.0985439406127491,0.0693604119457642
2005,0.0880646458593802,0.0461079073868379,0.0419567384725421,0.169776074063768,0.105761754082235,0.0640143199815334
2006,0.0945456877788216,0.0488641230460364,0.0456815647327851,0.179318258265959,0.107572830817759,0.0717454274482003
2007,0.0911500062552459,0.0492865229615625,0.0418634832936835,0.177052404262184,0.108020750623363,0.0690316536388216
2008,0.0947578838129337,0.0527794546143112,0.0419784291986223,0.182694551048064,0.109881354833843,0.0728131962142211
2009,0.092294803371285,0.0573240427760493,0.0349707605952359,0.179030059950495,0.108201561325772,0.0708284986247228
2010,0.0965214176052585,0.0574739272158587,0.0390474903893998,0.180851730630082,0.106151743844318,0.0746999867857644
2011,0.104806887174717,0.0628079167659991,0.0419989704087182,0.188421211853796,0.111075538570005,0.0773456732837912
2012,0.102536028933104,0.0614602980403025,0.0410757308928016,0.196929262457703,0.115990057021441,0.0809392054362624
2013,0.103018147484285,0.0577230767661376,0.045295070718147,0.192168979378148,0.109694583970879,0.0824743954072687
2014,0.101681778792799,0.0566585459912367,0.0450232328015627,0.188247430576132,0.106341822030517,0.0819056085456148
2015,0.0940734234438141,0.0512607412994395,0.0428126821443748,0.181433590714058,0.10295911468812,0.0784744760259382
2016,0.0916859615596394,0.0485609315120819,0.0431250300475576,0.17917790200628,0.100646520219224,0.0785313817870562
2017,0.0930774433717584,0.0389069382448192,0.054170505126939,0.18700221670544,0.0977031873834209,0.0892990293220194
2018,0.0939886715545158,0.0395069758248972,0.0544816957296185,0.186403223073379,0.0948596834161473,0.0915435396572319
2019,0.0910845718935174,0.0402777146236292,0.0508068572698881,0.18038314238304,0.094384351369834,0.0859987910132064
2020,0.104362918586875,0.0427194499644975,0.0616434686223778,0.200556047510205,0.100736741821258,0.0998193056889474
2021,0.100855268393049,0.0369175496526458,0.0639377187404033,0.194291570814432,0.0901474606220994,0.104144110192333
